time	V(n002)	I(Rq)
Step Information: C_d=20f  (Run: 1/5)
1.000953125000000e-08	1.657229e+00	6.855424e-07
1.002859375000000e-08	1.596529e+00	8.069424e-07
1.005028997800709e-08	1.495732e+00	1.008536e-06
1.007185211428515e-08	1.396163e+00	1.207675e-06
1.007774583193562e-08	1.372830e+00	1.254340e-06
1.008821256469906e-08	1.336403e+00	1.327194e-06
1.010000000000000e-08	1.298198e+00	1.403604e-06
1.010825120471066e-08	1.275010e+00	1.449980e-06
1.011768115295141e-08	1.251171e+00	1.497658e-06
1.013654104943291e-08	1.210677e+00	1.578646e-06
1.017426084239592e-08	1.148591e+00	1.702818e-06
1.022456041407398e-08	1.093390e+00	1.813221e-06
1.030000000000000e-08	1.039768e+00	1.920464e-06
1.030754395859260e-08	1.037176e+00	1.925649e-06
1.032263187577781e-08	1.032502e+00	1.934996e-06
1.035280771014821e-08	1.025732e+00	1.948536e-06
1.040000000000000e-08	1.019448e+00	1.961104e-06
1.440824892606625e-08	1.092775e+00	1.814450e-06
1.909574892606628e-08	1.168067e+00	1.663866e-06
2.436918642606632e-08	1.241034e+00	1.517932e-06
2.983793642606636e-08	1.305451e+00	1.389098e-06
3.550199892606630e-08	1.361915e+00	1.276169e-06
4.136137392606625e-08	1.411062e+00	1.177876e-06
4.741606142606619e-08	1.453542e+00	1.092917e-06
5.366606142606613e-08	1.490007e+00	1.019986e-06
6.030668642606609e-08	1.521947e+00	9.561055e-07
6.733793642606626e-08	1.549503e+00	9.009933e-07
7.475981142606644e-08	1.572928e+00	8.541446e-07
8.276762392606664e-08	1.592988e+00	8.140244e-07
9.155668642606685e-08	1.610111e+00	7.797777e-07
1.013223114260671e-07	1.624526e+00	7.509481e-07
1.124551239260674e-07	1.636551e+00	7.268983e-07
1.253457489260677e-07	1.646278e+00	7.074439e-07
1.409707489260680e-07	1.653989e+00	6.920224e-07
1.610879364260685e-07	1.659832e+00	6.803351e-07
1.894082489260692e-07	1.663871e+00	6.722588e-07
1.917519989260693e-07	1.664075e+00	6.718491e-07
1.999551239260695e-07	1.664689e+00	6.706221e-07
